Time,Temperature,SootA,Co2,
29-8-2015T13-24-23,25.469999,27.07579,1430.380005,
29-8-2015T13-24-24,25.469999,27.04631,1430.380005,
29-8-2015T13-24-25,25.469999,27.055834,1432.189941,
29-8-2015T13-24-26,25.469999,27.000732,1432.189941,
29-8-2015T13-24-27,25.469999,26.981829,1432.390015,
29-8-2015T13-24-28,25.469999,26.964815,1432.390015,
29-8-2015T13-24-29,25.469999,26.949503,1431.089966,
29-8-2015T13-24-30,25.469999,26.935722,1431.089966,
29-8-2015T13-24-31,25.469999,26.979319,1430.790039,
29-8-2015T13-24-32,25.469999,26.983267,1430.790039,
29-8-2015T13-24-33,25.469999,26.988354,1431.209961,
29-8-2015T13-24-34,25.469999,26.992935,1433.359985,
29-8-2015T13-24-35,25.469999,26.997055,1433.359985,
29-8-2015T13-24-36,25.469999,27.000763,1431.599976,
29-8-2015T13-24-37,25.469999,26.904373,1431.599976,
29-8-2015T13-24-38,25.469999,26.921188,1430.369995,
29-8-2015T13-24-39,25.469999,26.975445,1430.369995,
29-8-2015T13-24-40,25.469999,27.024275,1424.790039,
29-8-2015T13-24-41,25.469999,27.068222,1424.790039,
29-8-2015T13-24-42,25.469999,27.107775,1425.640015,
29-8-2015T13-24-43,25.469999,27.111919,1425.640015,
29-8-2015T13-24-44,25.469999,27.118717,1425.219971,
29-8-2015T13-24-45,25.469999,27.094917,1425.219971,
29-8-2015T13-24-46,25.469999,27.073498,1425.98999,
29-8-2015T13-24-47,25.469999,27.05422,1425.98999,
29-8-2015T13-24-48,25.469999,27.036869,1424.22998,
29-8-2015T13-24-49,25.469999,27.103338,1424.22998,
29-8-2015T13-24-50,25.469999,27.213024,1424.140015,
29-8-2015T13-24-51,25.469999,27.294098,1424.140015,
29-8-2015T13-24-52,25.469999,27.367065,1424.060059,
29-8-2015T13-24-53,25.469999,27.432735,1424.060059,
29-8-2015T13-24-54,25.469999,27.491838,1424.52002,
29-8-2015T13-24-55,25.469999,27.476757,1424.52002,
29-8-2015T13-24-56,25.469999,27.349644,1424.949951,
29-8-2015T13-24-57,25.469999,27.286642,1424.949951,
29-8-2015T13-24-58,25.469999,27.22994,1424.709961,
29-8-2015T13-24-59,25.469999,27.178909,1424.709961,
29-8-2015T13-25-00,25.469999,27.13298,1426.540039,
29-8-2015T13-25-01,25.469999,27.041014,1426.540039,
